Federal_unit,Gender,Age,Color,Income,Years_of_study
11,2,80,2,2000,05
11,2,45,8,10000,12
11,4,34,4,900,16
11,2,65,2,6000,07
11,4,23,2,1600,15
11,2,52,2,1300,12
11,4,32,8,1400,12
11,4,36,8,1400,12
11,2,28,2,3500,16
11,2,48,2,2500,12
11,2,36,8,1700,12
11,2,48,2,4500,09
11,4,42,2,1700,12
11,4,46,2,4124,12
11,4,51,8,1500,12
11,2,26,8,1200,12
11,2,25,8,1000,13
11,2,27,8,1200,12
11,2,28,8,1600,12
11,4,37,8,950,11
11,2,26,8,1500,11
11,2,27,8,1500,11
11,2,41,8,4000,16
11,2,49,2,900,06
11,2,32,8,6000,16
11,2,41,4,3000,01
11,2,30,2,6000,16
11,2,52,8,2200,15
11,2,36,2,2000,12
11,2,35,8,4000,16
11,2,50,8,1000,01
11,2,53,8,1400,01
11,4,32,8,788,05
11,4,36,2,788,09
11,2,52,4,1700,09
11,2,55,8,1000,01
11,2,42,2,3000,16
11,2,35,8,1500,05
11,2,71,2,1100,06
11,2,31,4,1000,01
11,4,43,8,1100,12
11,2,51,8,1200,09
11,2,37,8,2580,09
11,2,38,8,1900,17
11,4,35,8,2150,16
11,2,26,2,1800,12
11,4,50,8,300,06
11,2,59,8,1300,05
11,2,25,8,788,12
11,4,42,2,2800,16
11,2,41,8,1440,05
11,2,38,8,850,05
11,4,36,2,9000,16
11,2,32,8,7800,15
11,2,45,8,1200,05
11,4,26,2,1500,11
11,4,28,2,3000,12
11,2,29,8,400,06
11,4,30,8,550,07
11,4,36,8,1200,12
11,2,25,8,1500,12
11,2,26,8,1100,06
11,4,44,8,900,06
11,4,19,2,2300,12
11,2,34,6,8000,16
11,2,36,8,1400,13
11,4,36,8,5000,16
11,2,39,2,2500,03
11,2,32,8,1490,12
11,2,57,8,2300,03
11,4,36,8,300,12
11,2,55,8,8000,09
11,4,22,2,805,16
11,2,42,8,6000,12
11,2,35,2,2000,16
11,2,38,8,850,12
11,2,29,2,5200,16
11,2,66,4,789,02
11,2,48,2,2000,01
11,2,34,8,5000,16
11,4,49,8,400,12
11,2,49,2,1800,09
11,2,62,2,4000,12
11,2,28,4,1000,12
11,4,32,8,200,06
11,2,41,2,250,01
11,2,52,8,800,03
11,2,43,8,1600,12
11,2,39,2,800,08
11,2,37,8,1600,06
11,2,67,8,1000,01
11,2,54,2,2500,05
11,2,77,8,250,01
11,2,64,8,1000,04
11,2,58,2,10000,01
11,2,57,8,1200,03
11,2,43,8,1200,13
11,2,64,8,3000,05
11,2,52,2,1200,07
11,2,52,8,2500,01
11,4,26,8,1000,15
11,2,41,2,2700,12
11,2,24,8,1300,16
11,4,31,8,500,06
11,4,29,2,1000,14
11,2,41,8,1500,05
11,2,44,8,1900,06
11,4,38,2,1300,07
11,4,62,8,300,10
11,2,59,2,788,01
11,4,60,2,788,03
11,2,48,2,2500,05
11,2,56,2,788,02
11,4,32,2,1020,09
11,4,43,8,600,01
11,4,26,8,1920,12
11,2,57,4,1500,05
11,2,39,8,788,01
11,2,45,2,1000,12
11,2,51,8,2500,02
11,2,34,2,789,12
11,4,40,4,830,07
11,4,36,2,1000,12
11,2,55,8,1800,07
11,2,49,2,2300,08
11,2,39,8,800,12
11,4,39,8,788,06
11,4,38,4,1200,16
11,4,17,2,230,11
11,2,51,2,2364,16
11,4,56,2,500,07
11,4,45,8,1800,01
11,2,57,2,3650,03
11,2,31,2,2000,09
11,2,54,8,1500,01
11,2,39,8,1200,01
11,2,42,2,1400,04
11,4,23,8,300,09
11,4,43,8,788,10
11,2,38,8,400,06
11,2,38,2,400,16
11,4,38,4,788,06
11,2,37,8,788,01
11,4,59,8,1500,04
11,2,50,8,1500,07
11,2,31,2,3000,16
11,2,44,8,1400,12
11,2,27,8,1000,12
11,4,36,8,800,12
11,2,37,8,800,07
11,2,49,8,700,12
11,2,55,8,900,08
11,2,37,4,788,09
11,4,52,8,788,12
11,4,38,8,400,01
11,4,66,8,2000,16
11,2,63,2,3000,12
11,4,31,8,300,15
11,4,49,8,1300,12
11,2,46,2,1200,06
11,2,45,8,1500,08
11,4,33,4,200,10
11,2,58,4,1600,08
11,2,54,8,1200,03
11,2,72,8,1500,01
11,2,70,8,400,01
11,2,50,8,350,06
11,2,64,2,2400,05
11,2,53,8,788,01
11,2,38,8,800,06
11,2,22,2,1100,08
11,2,50,2,2500,13
11,2,41,2,2000,16
11,2,31,2,3000,14
11,2,44,2,5000,16
11,2,41,2,3500,16
11,2,42,8,3500,09
11,2,18,8,800,10
11,2,41,4,800,05
11,4,23,8,850,14
11,2,37,8,850,09
11,4,47,2,788,17
11,2,19,8,1500,09
11,2,35,8,1000,09
11,2,33,8,1200,12
11,4,34,8,800,10
11,2,36,8,2000,06
11,4,38,2,1000,08
11,4,33,8,2000,16
11,2,58,8,800,01
11,4,46,8,788,09
11,2,56,8,1300,04
11,2,34,8,2500,12
11,2,28,8,1000,06
11,2,27,8,3500,12
11,2,28,8,800,04
11,2,22,2,788,09
11,2,44,4,1500,09
11,2,32,8,1600,09
11,2,36,8,1700,08
11,2,39,8,2000,07
11,2,45,8,1000,16
11,4,39,4,100,09
11,4,21,2,788,09
11,2,26,8,1400,12
11,2,44,8,1200,16
11,2,40,8,1500,05
11,2,57,2,1300,05
11,2,40,4,600,08
11,2,41,8,900,06
11,2,44,2,1200,04
11,2,40,8,2000,05
11,2,44,8,900,12
11,2,51,8,2000,01
11,2,35,8,900,04
11,2,22,8,788,01
11,2,44,8,900,04
11,2,31,8,1500,09
11,2,22,8,788,12
11,2,61,2,10000,16
11,4,26,8,788,10
11,2,56,8,2800,12
11,2,53,8,788,09
11,2,37,8,788,01
11,2,24,2,2000,11
11,4,34,2,789,12
11,2,25,8,1500,14
11,4,40,2,2800,14
11,2,63,8,3000,09
11,2,36,8,1200,12
11,4,32,8,2000,13
11,2,50,2,1000,09
11,2,47,8,2500,07
11,4,45,8,1150,16
11,2,36,2,2000,05
11,2,46,2,5000,09
11,2,47,2,3000,12
11,2,56,2,8000,16
11,2,46,8,1200,06
11,2,47,8,2500,12
11,2,52,8,10000,09
11,4,23,8,788,07
11,2,38,4,2400,12
11,2,52,2,3000,09
11,2,29,8,1900,16
11,2,40,8,7500,16
11,2,58,8,3310,12
11,2,28,8,900,05
11,2,52,8,800,01
11,2,38,8,3500,06
11,2,22,8,1000,12
11,2,49,2,8500,05
11,4,59,8,250,05
11,2,42,2,950,02
11,2,40,8,1300,04
11,2,20,8,1500,09
11,4,58,8,2000,16
11,2,51,8,7000,12
11,2,62,8,6000,12
11,2,36,2,3400,12
11,4,46,2,788,12
11,2,54,8,1200,12
11,4,51,8,780,12
11,2,37,2,788,12
11,2,22,8,2000,11
11,2,21,8,1400,07
11,2,47,8,1800,16
11,4,38,8,900,06
11,2,69,2,1182,01
11,2,68,8,600,01
11,2,57,8,4200,16
11,4,36,4,788,12
11,4,47,8,150,13
11,2,59,2,4000,13
11,2,53,8,7000,16
11,4,46,2,1700,16
11,4,59,2,80,09
11,2,44,8,800,12
11,2,29,8,1000,12
11,4,50,8,2000,06
11,4,54,4,788,05
11,4,47,8,870,05
11,2,33,8,1200,07
11,2,63,8,200,01
11,4,37,8,1100,11
11,2,61,4,1000,05
11,2,42,2,2000,09
11,4,34,8,200,10
11,2,37,4,4300,16
11,2,39,2,2000,12
11,2,36,8,1200,04
11,2,56,8,1070,02
11,2,59,2,1000,06
11,2,46,2,800,09
11,2,48,2,5000,16
11,2,59,8,350,01
11,2,20,8,500,08
11,2,41,8,500,10
11,2,61,2,1100,01
11,2,27,2,1200,12
11,4,50,8,788,04
11,2,74,2,1000,03
11,4,59,8,400,09
11,2,36,8,788,04
11,2,57,4,150,05
11,2,34,2,3000,09
11,2,40,8,1300,12
11,2,52,8,200,05
11,2,29,8,788,11
11,4,59,4,250,02
11,2,43,8,1000,12
11,2,43,8,788,06
11,4,39,8,788,09
11,2,38,2,2000,12
11,4,27,4,600,01
11,2,36,2,600,12
11,2,56,8,4500,08
11,2,34,4,1000,12
11,2,61,8,788,03
11,2,32,2,1400,09
11,4,53,2,500,06
11,2,57,8,350,08
11,2,38,8,920,12
11,4,35,2,2400,16
11,4,40,2,800,06
11,2,34,8,4800,05
11,2,31,8,3000,12
11,2,34,2,1200,09
11,2,34,8,1500,11
11,2,22,2,2500,08
11,2,64,2,1500,12
11,2,53,2,1500,16
11,2,36,2,1500,12
11,2,29,2,1000,09
11,2,49,2,2000,02
11,2,35,8,1300,09
11,2,21,8,1200,12
11,4,30,8,1400,05
11,2,52,8,1000,05
11,2,37,2,1500,05
11,4,57,8,1000,10
11,2,31,8,2500,15
11,2,58,8,200,05
11,2,34,8,1270,07
11,2,49,8,788,04
11,4,31,2,1200,13
11,4,38,8,1500,09
11,2,27,8,45000,11
11,2,38,8,1200,12
11,2,48,8,1100,09
11,2,44,8,150,09
11,2,54,2,500,04
11,2,60,8,1500,02
11,2,20,2,1200,07
11,2,39,2,1500,05
11,2,51,4,2600,09
11,2,42,8,3500,12
11,2,29,2,2400,16
11,2,58,8,100,01
11,2,35,8,750,07
11,2,34,2,900,05
11,2,65,2,5000,01
11,2,58,8,1500,01
11,2,46,8,1000,11
11,2,48,2,5000,09
11,2,57,2,1400,05
11,2,33,8,900,01
11,2,43,8,1500,04
11,2,43,2,1200,12
11,2,52,8,788,01
11,2,25,8,788,06
11,2,50,2,2000,05
11,2,54,8,2000,09
11,2,50,8,2000,12
11,2,46,2,1200,01
11,4,41,2,2000,09
11,4,44,8,788,09
11,2,46,8,1290,05
11,2,34,8,1500,09
11,2,38,8,1200,16
11,2,39,8,2500,12
11,2,51,8,1800,05
11,4,56,8,1000,05
11,2,55,4,2500,11
11,2,25,8,1700,12
11,4,45,2,2790,16
11,2,50,2,4500,12
11,4,45,8,300,09
11,2,33,8,5000,10
11,4,44,2,800,09
11,4,31,8,900,12
11,2,28,8,788,06
11,4,44,8,788,12
11,2,43,8,2500,14
11,4,63,8,788,01
11,2,43,8,788,05
11,4,32,4,3000,16
11,2,41,8,3800,12
11,2,38,8,1250,03
11,2,51,2,7000,02
11,2,51,2,788,05
11,2,53,8,600,13
11,2,70,2,1800,09
11,2,35,8,1400,09
11,2,24,8,800,06
11,2,24,8,788,03
11,2,31,8,1300,05
11,2,37,8,788,05
11,2,29,8,788,11
11,2,37,8,9166,14
11,2,60,8,800,05
11,2,41,8,1800,09
11,2,53,8,2000,05
11,2,28,4,1200,16
11,4,46,4,830,06
11,2,53,4,1500,04
11,2,51,8,1500,07
11,2,36,4,1500,12
11,4,40,8,1200,12
11,2,45,2,2000,09
11,2,31,8,2930,12
11,2,53,2,4000,12
11,4,36,8,788,12
11,4,36,2,2000,12
11,4,25,8,3000,16
11,2,57,2,1024,07
11,2,45,8,1180,05
11,4,25,8,1024,10
11,4,56,8,1500,09
11,2,51,8,1500,05
11,2,52,2,2000,06
11,4,36,8,4000,12
11,2,47,4,1200,05
11,2,41,2,1200,04
11,2,36,8,876,10
11,2,65,2,1200,01
11,4,28,8,788,07
11,4,35,8,1050,06
11,2,44,4,1300,01
11,4,28,4,1300,16
11,2,55,2,1300,05
11,2,30,2,1100,11
11,2,52,8,2000,05
11,4,35,8,924,12
11,4,33,2,1300,14
11,4,53,8,950,05
11,2,45,8,1300,02
11,2,28,8,1100,16
11,2,52,4,1500,01
11,2,57,8,500,07
11,2,64,8,3500,12
11,2,18,2,850,06
11,4,29,8,150,10
11,2,30,4,2300,12
11,2,53,2,950,02
11,2,57,2,788,09
11,2,40,8,2000,04
11,4,35,8,2800,16
11,4,53,8,800,09
11,4,27,8,1500,12
11,4,39,8,900,05
11,4,43,8,500,05
11,2,49,2,2100,09
11,4,48,8,600,05
11,4,41,8,1100,08
11,2,45,8,2000,05
11,2,18,8,1300,06
11,4,44,8,788,09
11,2,45,8,1800,04
11,2,76,8,700,01
11,2,48,8,1800,05
11,2,45,4,1100,11
11,2,36,8,960,03
11,4,43,8,1200,12
11,2,52,8,1200,09
11,2,57,8,4000,07
11,4,36,8,1500,12
11,4,33,8,2800,12
11,4,49,8,2000,09
11,2,35,8,788,09
11,2,39,8,500,06
11,2,64,2,1200,01
11,2,17,8,1500,08
11,4,38,8,788,12
11,2,24,8,150,10
11,2,38,8,1500,08
11,2,79,8,788,02
11,2,27,4,850,07
11,2,53,0,5000,16
11,4,41,8,1800,15
11,4,52,2,1000,08
11,2,37,4,500,01
11,2,49,8,788,01
11,2,32,8,2000,16
11,2,38,8,7000,16
11,4,38,8,1700,12
11,4,36,8,800,12
11,4,48,8,1600,12
11,2,45,2,2300,16
11,2,41,8,2100,12
11,2,29,2,1600,14
11,2,27,4,1500,12
11,2,26,2,2000,10
11,4,62,8,5000,16
11,4,38,2,3500,12
11,2,30,8,788,12
11,2,32,8,788,12
11,4,58,4,7900,16
11,2,55,8,3500,12
11,2,49,2,7000,16
11,2,51,4,22000,16
11,4,49,8,1000,09
11,2,38,2,3500,12
11,2,61,8,3000,09
11,4,52,8,1200,09
11,2,36,8,2000,16
11,2,60,8,1200,09
11,2,50,4,1000,12
11,2,19,2,1038,12
11,4,39,8,1500,12
11,4,28,2,960,12
11,2,46,4,2000,12
11,4,26,2,1800,12
11,2,28,8,4000,09
11,4,67,8,350,01
11,2,53,8,800,09
11,4,60,2,1200,09
11,2,44,2,2000,12
11,2,33,4,2200,10
11,4,47,4,1800,16
11,2,41,8,3500,12
11,2,39,4,2500,10
11,2,61,2,1000,05
11,4,36,4,1000,08
11,2,62,2,2000,07
11,2,55,4,2300,12
11,2,20,2,1200,12
11,2,56,8,400,09
11,2,63,2,2000,05
11,4,39,4,1200,13
11,4,38,8,3000,16
11,2,55,8,1700,16
11,2,27,8,954,12
11,2,48,8,5000,12
11,2,27,8,1500,01
11,2,46,2,1700,06
11,2,35,8,6700,16
11,4,40,8,800,12
11,2,32,8,2300,16
11,4,37,8,1000,12
11,2,24,2,3800,12
11,2,41,8,788,10
11,4,60,2,2500,01
11,2,33,2,1045,09
11,2,59,8,2000,01
11,4,22,2,1600,16
11,2,46,2,8000,16
11,2,20,8,900,16
11,2,59,2,2000,05
11,2,33,2,2500,12
11,2,65,8,1800,08
11,2,27,8,3800,12
11,2,43,2,2500,12
11,2,65,2,4500,07
11,4,46,8,3500,16
11,2,50,4,1100,03
11,4,47,4,1000,09
11,2,40,8,700,05
11,4,43,8,1100,07
11,2,44,4,1600,12
11,4,45,2,788,07
11,2,28,8,1600,12
11,2,22,8,3500,15
11,4,47,4,6000,16
11,4,53,8,3500,15
11,4,49,2,2000,12
11,2,67,8,2000,09
11,2,40,2,1300,08
11,2,59,2,1500,13
11,4,55,2,1000,12
11,2,58,2,1000,06
11,4,56,2,5000,16
11,2,50,8,9000,16
11,4,63,8,1600,16
11,4,45,8,6000,16
11,2,48,2,3000,16
11,4,51,8,2000,12
11,2,54,4,2600,04
11,4,43,8,1200,12
11,4,39,8,1800,16
11,2,46,2,1000,05
11,4,29,8,788,12
11,2,61,2,2000,05
11,2,26,2,4000,12
11,2,30,2,4500,12
11,2,37,8,3000,12
11,2,26,4,1400,12
11,2,35,8,1500,12
11,2,41,8,1800,12
11,2,26,8,1000,13
11,4,35,4,1720,13
11,2,27,8,1500,11
11,4,35,8,1570,12
11,2,30,8,2000,12
11,2,26,2,1200,12
11,2,57,8,7000,16
11,4,51,8,4500,16
11,2,24,8,3000,14
11,2,30,8,6000,16
11,4,28,8,900,09
11,2,37,8,1200,09
11,2,35,8,3600,12
11,4,25,8,2000,12
11,4,43,4,1000,12
11,2,35,4,10000,16
11,2,35,8,1222,05
11,2,50,8,1150,08
11,2,58,8,2000,09
11,4,49,8,500,03
11,2,36,8,900,10
11,2,34,8,1500,12
11,2,48,8,1200,12
11,4,37,8,840,12
11,4,51,8,1900,16
11,4,43,2,788,12
11,4,54,4,844,02
11,2,62,8,1600,09
11,2,34,8,1200,01
11,2,34,8,3000,16
11,4,29,2,350,12
11,2,63,4,600,01
11,4,45,8,1000,09
11,2,42,8,1007,12
11,4,25,2,800,12
11,4,34,8,2000,16
11,2,65,2,1800,08
11,4,28,8,2600,16
11,4,61,8,200,07
11,4,28,8,600,12
11,2,48,8,3000,16
11,4,35,8,400,09
11,2,42,4,1400,16
11,4,43,2,4000,16
11,2,54,2,5000,04
11,2,46,8,3000,15
11,4,53,4,2500,12
11,2,50,8,900,16
11,2,24,2,1500,12
11,4,27,4,700,16
11,2,46,4,3000,16
11,4,28,2,1400,13
11,2,38,2,2000,12
11,2,49,4,2800,12
11,2,62,4,1550,01
11,4,18,8,1000,12
11,2,40,2,2000,06
11,4,29,4,1500,15
11,2,55,2,1000,06
11,4,29,4,950,08
11,2,44,8,2200,12
11,2,41,8,1300,12
11,2,30,8,3300,07
11,2,21,2,900,11
11,2,41,8,1600,05
11,4,60,8,780,01
11,2,51,8,1800,03
11,4,48,8,1200,09
11,2,23,8,1300,12
11,4,40,8,1500,09
11,4,47,8,788,09
11,2,21,8,1200,12
11,4,31,8,2800,16
11,2,49,4,5000,12
11,2,30,2,1500,11
11,4,49,8,800,04
11,2,58,8,2000,08
11,4,49,8,2200,12
11,2,64,8,2500,07
11,2,43,8,4000,12
11,4,51,2,3200,16
11,2,34,8,3000,12
11,4,32,4,2500,16
11,2,70,8,1100,08
11,4,31,8,1200,10
11,4,40,8,2400,16
11,2,49,2,3000,12
11,2,52,8,2500,07
11,2,56,8,3000,12
11,2,25,8,1500,12
11,4,21,8,1150,13
11,4,36,8,1050,13
11,2,22,8,1400,09
11,4,25,8,820,09
11,2,32,8,1200,11
11,2,28,2,1600,12
11,2,35,4,1680,11
11,2,26,8,1800,12
11,2,25,8,1300,12
11,4,46,8,1500,12
11,2,43,8,1800,13
11,2,53,8,1800,06
11,2,23,4,1050,16
11,4,54,8,1400,12
11,2,22,8,1200,06
11,2,30,8,2365,12
11,2,51,8,2200,06
11,4,49,8,4500,16
11,2,45,2,1400,16
11,2,31,8,1500,06
11,2,27,8,1500,06
11,4,30,8,3000,12
11,4,35,8,788,08
11,2,42,4,2500,06
11,2,56,4,2800,16
11,2,30,8,2000,12
11,2,37,8,1500,05
11,4,50,8,1000,09
11,4,48,8,1000,15
11,4,36,8,1300,09
11,2,33,8,788,12
11,4,24,4,2500,16
11,2,55,8,3000,12
11,2,38,8,1700,02
11,4,59,2,3200,12
11,2,37,8,1800,12
11,4,45,2,800,12
11,2,40,8,5500,16
11,2,43,2,3500,12
11,4,22,8,788,10
11,4,49,8,900,09
11,4,40,0,900,04
11,4,44,8,700,05
11,2,54,8,780,09
11,4,53,8,788,09
11,4,42,8,850,05
11,4,43,2,1500,11
11,4,59,8,300,06
11,2,36,8,3000,12
11,2,40,0,2500,12
11,4,39,8,1200,12
11,4,41,2,3500,15
11,4,34,2,3500,16
11,2,40,8,2000,12
11,4,37,8,800,08
11,2,43,8,1150,10
11,2,36,2,1900,12
11,2,46,8,1400,12
11,2,32,8,1300,10
11,2,26,2,960,14
11,2,35,8,900,12
11,2,35,8,2400,12
11,2,36,4,2000,07
11,4,32,2,2100,16
11,4,43,2,1900,15
11,2,22,8,1200,10
11,2,35,8,1900,12
11,2,28,8,1600,11
11,4,29,2,12500,16
11,2,36,8,5000,16
11,2,54,8,5000,09
11,4,53,8,6800,16
11,4,53,2,4000,16
11,4,27,8,2200,16
11,2,66,2,5000,16
11,4,33,2,10000,16
11,2,29,8,3000,12
11,4,38,2,1000,12
11,2,51,8,3000,12
11,2,31,2,1400,12
11,4,18,8,1000,08
11,4,43,8,3000,09
11,2,41,8,1200,08
11,2,45,2,2500,04
11,2,25,8,1300,12
11,4,40,2,827,11
11,2,51,8,1200,05
11,2,30,8,2100,12
11,4,27,8,35,06
11,2,20,8,1300,09
11,2,58,8,700,01
11,2,33,8,800,06
11,4,38,2,1500,12
11,4,39,8,300,05
11,4,50,8,200,01
11,2,22,2,2000,10
11,2,30,8,788,12
11,2,59,8,2000,09
11,2,75,2,300,01
11,2,51,8,3800,12
11,2,36,4,2000,12
11,2,35,2,5000,14
11,2,46,4,3800,12
11,4,60,8,1000,06
11,2,29,8,5000,12
11,4,24,8,1600,12
11,4,56,8,1500,06
11,2,62,8,900,03
11,2,47,8,3000,12
11,4,45,4,1800,11
11,2,45,8,500,06
11,2,57,8,1500,04
11,2,38,8,5000,15
11,2,41,2,3000,12
11,2,40,8,1200,16
11,2,39,8,1200,16
11,2,35,8,1200,05
11,2,42,8,3500,01
11,4,46,8,1200,10
11,2,55,4,1000,04
11,2,30,8,3500,15
11,2,29,4,6000,16
11,4,52,8,3500,16
11,2,58,2,10000,12
11,2,26,8,1400,08
11,2,50,8,1600,02
11,2,56,8,1400,12
11,2,53,4,788,05
11,2,59,8,5000,09
11,2,33,2,50000,16
11,4,44,4,872,12
11,2,59,4,3000,05
11,4,46,4,1000,16
11,4,56,8,1000,06
11,4,24,8,1500,14
11,2,44,8,920,05
11,2,42,8,788,05
11,2,28,8,2000,15
11,4,59,8,1100,06
11,4,48,2,1900,16
11,4,36,8,600,13
11,2,35,4,788,09
11,2,45,8,1000,05
11,2,46,2,3000,12
11,2,34,2,2600,11
11,4,33,8,1200,12
11,2,42,8,1200,08
11,4,39,8,9000,16
11,2,33,8,1200,01
11,2,55,2,2000,07
11,2,57,8,1000,12
11,2,54,8,1500,01
11,2,33,4,1000,08
11,2,65,8,600,04
11,2,47,2,1000,11
11,2,43,8,788,07
11,2,70,2,1000,01
11,2,51,8,788,05
11,2,49,2,1100,04
11,2,66,8,500,01
11,2,23,8,788,09
11,2,49,8,400,16
11,2,41,4,2200,05
11,2,57,2,3000,09
11,2,45,8,350,01
11,2,38,8,1200,06
11,2,34,8,300,05
11,4,50,2,3600,16
11,2,43,8,700,05
11,4,36,2,3200,12
11,2,35,2,1900,16
11,4,34,2,850,12
11,2,39,2,800,01
11,2,31,4,1100,09
11,4,41,8,788,06
11,4,52,2,250,05
11,2,37,8,1500,12
11,4,26,8,830,12
11,2,63,2,3100,05
11,2,53,8,2000,12
11,2,42,8,500,05
11,2,30,2,4000,16
11,2,24,2,912,12
11,4,34,4,9000,16
11,2,30,2,1500,10
11,2,33,8,3000,16
11,2,42,2,500,05
11,2,35,2,3000,10
11,2,37,8,550,02
11,2,28,8,1380,06
11,2,34,8,1200,09
11,4,53,4,400,10
11,2,48,4,10000,12
11,4,43,8,3500,12
11,4,50,2,850,09
11,2,45,8,2000,06
11,2,30,2,700,03
11,2,27,8,2800,16
11,2,42,2,1200,09
11,4,42,8,788,15
11,2,74,2,400,01
11,2,29,8,3000,12
11,2,37,4,1500,16
11,4,40,8,400,04
11,2,36,4,3000,05
11,4,59,8,2000,16
11,2,33,2,900,12
11,4,28,8,1000,14
11,2,26,8,1500,12
11,2,45,4,2000,05
11,2,33,8,6000,09
11,4,57,2,1700,09
11,2,49,8,1950,02
11,2,26,2,1000,14
11,2,44,8,4000,12
11,2,56,2,7400,16
11,2,36,8,2000,16
11,4,18,2,1300,09
11,2,47,8,2500,02
11,2,56,8,2000,01
11,2,65,8,2160,12
11,4,52,2,5000,15
11,2,34,2,3000,16
11,2,23,2,2000,16
11,2,55,2,900,16
11,4,36,2,800,12
11,4,49,8,1000,12
11,4,38,8,1100,12
11,2,55,8,1576,07
11,2,23,8,1500,12
11,4,19,8,876,10
11,2,55,8,1500,05
11,4,46,2,788,06
11,2,48,4,2000,12
11,2,74,8,915,12
11,2,28,8,3000,12
11,2,48,4,2000,05
11,2,58,8,1500,04
11,2,40,8,950,12
11,2,52,8,2500,06
11,4,33,2,788,16
11,2,25,8,500,03
11,4,35,2,1200,12
11,2,33,4,600,01
11,2,28,8,1500,08
11,2,64,4,1800,06
11,2,44,2,1024,16
11,2,32,8,4000,12
11,2,50,8,5000,16
11,4,47,2,950,12
11,2,48,8,788,03
11,2,36,2,2400,09
11,2,35,2,6000,05
11,2,49,8,788,09
11,2,37,8,1200,08
11,2,33,2,1000,05
11,4,34,8,3000,12
11,4,49,4,500,13
11,2,30,2,1400,16
11,4,45,6,640,05
11,2,21,8,1490,12
11,4,32,8,800,05
11,4,47,8,1000,12
11,2,38,4,1300,06
11,2,33,6,1250,05
11,2,35,2,1500,08
11,2,32,2,10000,16
11,2,40,2,1200,05
